lab,full_name,group,N,pvalue,OR,effect_estimate,std_error,prs_r2,Bonferroni,FDR
TesFF,Testosterone Free [Mass/volume] in Serum or Plasma,endocrine,978,0.226216201,1.058346005,0.056707317,0.046826601,0.003405361,FALSE,FALSE
Oxcarb,10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma,toxicology/pharmacology,278,0.22758708,1.122313108,0.115391831,0.095394378,-0.003254264,FALSE,FALSE
C1.EFx,Complement C1 esterase inhibitor.functional/Complement C1 esterase inhibitor.total in Serum or Plasma,immune,134,0.227993048,1.176061289,0.162170965,0.13375687,0.018172568,FALSE,FALSE
ProtUr,ProtUr,urinary,119,0.228383776,1.117855403,0.111412031,0.091811096,0.040913786,FALSE,FALSE
Ornthn,Ornithine [Moles/volume] in Serum or Plasma,metabolic,436,0.228806497,1.177694918,0.163559069,0.135698059,0.005779759,FALSE,FALSE
Bind,Acetylcholine receptor binding Ab,blood,154,0.235279726,1.094827613,0.09059692,0.075939878,-0.012309188,FALSE,FALSE
ProSer,Protein serum/plasma,liver,360,0.235776847,0.943969033,-0.057661918,0.048533296,0.014531036,FALSE,FALSE
ANION.GAP,ANION GAP,blood,372,0.239735669,1.060015623,0.058283647,0.049477356,0.002239232,FALSE,FALSE
Tobramy,Tobramycin [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,384,0.243379909,1.053700926,0.052308659,0.044752253,-0.003464557,FALSE,FALSE
ChromA,Chromogranin A [Mass/volume] in Serum or Plasma,cancer,470,0.246080569,1.066207496,0.064107956,0.055188779,0.016945894,FALSE,FALSE
Cyclo,Cyclosporine [Mass/volume] in Blood,toxicology/pharmacology,584,0.249143773,1.039572927,0.038809982,0.033629373,0.006138013,FALSE,FALSE
WtSwt,WtSwt,other,470,0.25215162,0.866907329,-0.142823195,0.124553679,0.003441416,FALSE,FALSE
Strong,Strongyloides sp IgG Ab [Units/volume] in Serum by Immunoassay,urinary,108,0.252169006,0.884554022,-0.122671691,0.106334114,0.031388013,FALSE,FALSE
UAlb,Albumin [Presence] in Urine,metabolic,1213,0.2548221,1.0300881,0.029644332,0.026018185,0.005807944,FALSE,FALSE
SSBIgG,Sjogrens syndrome-B extractable nuclear IgG Ab [Units/volume] in Serum by Immunoassay,immune,1482,0.254861919,1.036791141,0.036130502,0.031717859,0.008951052,FALSE,FALSE
Dipthe,Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum,immune,328,0.255918666,0.899942985,-0.105423867,0.092608179,-0.002325111,FALSE,FALSE
BNeu,BNeu,immune,369,0.256052621,0.941562981,-0.060214039,0.0529099,0.014710182,FALSE,FALSE
HBSA.,Hepatitis B virus surface Ab [Presence] in Serum,liver,2436,0.258008596,0.976393902,-0.023889186,0.021114372,-0.009702529,FALSE,FALSE
VANCOMYCIN_TROUGH,VANCOMYCIN_TROUGH,toxicology/pharmacology,184,0.266517796,1.078028972,0.075134348,0.067350686,0.03624143,FALSE,FALSE
Prolne,Proline [Moles/volume] in Serum or Plasma,metabolic,424,0.273748637,0.804687299,-0.217301525,0.19826077,0.013871639,FALSE,FALSE
PanEla,Elastase.pancreatic [Mass/mass] in Stool,endocrine,223,0.27471736,0.90536258,-0.099419775,0.090742998,-0.004346053,FALSE,FALSE
HBAQNT,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,immune,190,0.274963619,1.122772752,0.115801297,0.105696543,0.000933056,FALSE,FALSE
CEosin,Eosinophils/100 leukocytes in Cerebral spinal fluid by Manual count,blood,1081,0.275778225,0.961653966,-0.039100596,0.0358564,5.48E-05,FALSE,FALSE
SyVLCl,SyVLCl,other,311,0.278451434,0.971368178,-0.029049709,0.026746754,-0.010446886,FALSE,FALSE
TestFC,Testosterone [Mass/volume] in Serum or Plasma,endocrine,352,0.279912791,0.918518876,-0.084992824,0.078518389,0.007731305,FALSE,FALSE
ACAIgM,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay,immune,2361,0.28185733,0.974622978,-0.025704572,0.023879037,0.002713745,FALSE,FALSE
pH.Ven,pH of Venous blood,kidney,9285,0.282233691,1.011586939,0.011520324,0.010712679,0.000206354,FALSE,FALSE
TotCat,TotCat,other,171,0.282878651,0.916482776,-0.087212006,0.080873525,0.00705779,FALSE,FALSE
G.CSF,IgG [Mass/volume] in Cerebral spinal fluid,immune,616,0.283430588,1.056539808,0.054999237,0.051223279,0.006289418,FALSE,FALSE
IMMATURE.GRANULOCYTES.ABSOLUTE.COUNT,IMMATURE GRANULOCYTES ABSOLUTE COUNT,immune,317,0.283844635,1.073873154,0.071271883,0.066354561,0.01846009,FALSE,FALSE
CKMB_POINT_OF_CARE,CKMB_POINT_OF_CARE,kidney,165,0.284364147,1.089001737,0.085261439,0.079263227,0.01876712,FALSE,FALSE
Mthine,Methionine [Moles/volume] in Serum or Plasma,metabolic,422,0.285552371,1.204009942,0.185657604,0.173604669,0.006863049,FALSE,FALSE
DopaUr,Dopamine [Mass/time] in 24 hour Urine,urinary,313,0.28769166,0.944140117,-0.057480694,0.053954417,0.016638965,FALSE,FALSE
Uurob,Urobilinogen [Presence] in Urine by Test strip,urinary,513,0.288219173,0.960550011,-0.040249231,0.037850504,-0.030927201,FALSE,FALSE
SyRBC,SyRBC,immune,623,0.290816636,0.963200888,-0.037493283,0.035458019,-0.007408942,FALSE,FALSE
kar,kar,other,522,0.292423181,0.954629261,-0.046432222,0.044048875,0.000152554,FALSE,FALSE
FTo.Cl,Cells Counted Total [#] in Body fluid,blood,3155,0.29861481,0.987441079,-0.012638451,0.012156715,-0.013864053,FALSE,FALSE
SEGS,SEGS,other,263,0.299622969,1.069105059,0.066821905,0.064261921,0.022059957,FALSE,FALSE
FSH.R,FSH-R,endocrine,265,0.301834005,1.134903509,0.126547634,0.122271558,-0.004122012,FALSE,FALSE
AspAcd,Aspartate [Moles/volume] in Serum or Plasma,metabolic,424,0.302915413,0.843326418,-0.170401185,0.165183705,-0.001246318,FALSE,FALSE
ABS.MONO.CT,ABS MONO CT,immune,212,0.304685477,1.07065385,0.068269536,0.066302946,0.01681684,FALSE,FALSE
BCRRAT,BCRRAT,cancer,446,0.307004982,1.042205318,0.041338966,0.040413566,-0.017733686,FALSE,FALSE
Glucose_HH,Glucose [Mass/volume] in Blood,metabolic,147,0.311586064,1.096254628,0.091899486,0.090376925,0.006579059,FALSE,FALSE
CaChPQ,CaChPQ,metabolic,177,0.313108135,0.94640051,-0.055089427,0.054416355,0.054969121,FALSE,FALSE
AlMpSc,AlMpSc,immune,204,0.314298722,1.116509966,0.110207719,0.10908313,0.061163375,FALSE,FALSE
PalatT,Palatinase [Enzymatic activity/mass] in Tissue,endocrine,370,0.314860765,0.894081642,-0.111958186,0.111232012,0.001504003,FALSE,FALSE
Prog.R,Progesterone [Mass/volume] in Serum or Plasma,endocrine,984,0.317759442,1.06465392,0.062649789,0.062673624,0.000620607,FALSE,FALSE
E.HCO3,Bicarbonate in blood,blood,109,0.318919586,1.128092742,0.120528368,0.119208133,0.308479431,FALSE,FALSE
FPlaCl,Plasma cells/100 leukocytes in Body fluid,blood,790,0.319701501,1.014366006,0.014263792,0.014322533,-0.003489568,FALSE,FALSE
Argine,Arginine [Moles/volume] in Serum or Plasma,metabolic,436,0.321573003,0.859984507,-0.150840905,0.151983479,-0.004026566,FALSE,FALSE
SyNuc,SyNuc,immune,632,0.321836386,1.033719559,0.03316352,0.033443845,0.024107418,FALSE,FALSE
METPL,Metanephrines [Moles/volume] in Serum or Plasma,endocrine,589,0.323674118,1.041056487,0.04023605,0.040726393,0.018133979,FALSE,FALSE
TestFr,Testosterone Free [Mass/volume] in Serum or Plasma,endocrine,2002,0.323730124,0.982911869,-0.017235818,0.017460961,0.002510049,FALSE,FALSE
DMX,DMX,other,286,0.323753819,1.058157363,0.056529059,0.05716002,-0.005559909,FALSE,FALSE
CNeut,Neutrophils/100 leukocytes in Cerebral spinal fluid by Manual count,immune,1853,0.326362171,1.032290184,0.031779814,0.032370042,7.52E-05,FALSE,FALSE
Renin,Renin [Enzymatic activity/volume] in Plasma,endocrine,172,0.327976135,1.082898304,0.079641061,0.081102433,0.015253008,FALSE,FALSE
Alb.BF,Albumin [Mass/volume] in Body fluid,liver,205,0.329261146,1.078827884,0.075875159,0.077489366,0.03815435,FALSE,FALSE
NRBCMA,Nucleated erythrocytes [#/volume] in Blood by Automated count,blood,1994,0.329442227,1.016150374,0.016021344,0.016423222,0.019726275,FALSE,FALSE
F9Act,Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay,blood,192,0.329637689,1.102249486,0.097353079,0.099557125,0.010459773,FALSE,FALSE
MONOCYTE.PERCENT,MONOCYTE PERCENT,immune,340,0.331473972,0.941632393,-0.060140322,0.06181258,0.029217368,FALSE,FALSE
Al.CSF,Albumin [Mass/volume] in Cerebral spinal fluid,liver,614,0.334741717,1.049883603,0.048679304,0.050420075,-0.011781829,FALSE,FALSE
TstFAM,Testosterone Free [Mass/volume] in Serum or Plasma,cancer,425,0.336958178,0.955218079,-0.045815609,0.047650789,0.016931174,FALSE,FALSE
ETOH,Ethanol [Mass/volume] in Serum or Plasma,toxicology/pharmacology,553,0.338202516,0.953095403,-0.048040272,0.050109559,0.009248558,FALSE,FALSE
ClSwtL,Chloride [Moles/volume] in Sweat,metabolic,113,0.338449478,0.805951349,-0.2157319,0.224221681,0.025965425,FALSE,FALSE
UGrCst,Granular casts [#/area] in Urine sediment by Microscopy high power field,urinary,1126,0.340174327,1.023234106,0.022968303,0.024067202,-0.011465573,FALSE,FALSE
GLOBULIN,GLOBULIN,metabolic,171,0.344942772,1.065551064,0.063492096,0.066976587,0.060409056,FALSE,FALSE
BGL,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis,immune,363,0.357048776,1.045952763,0.044928205,0.048703822,0.02973758,FALSE,FALSE
ClSwt,ClSwt,metabolic,410,0.363497551,0.873867514,-0.134826501,0.148187029,-0.003205412,FALSE,FALSE
IGF.1,IGF-1,endocrine,159,0.364163176,0.689119683,-0.372340318,0.40895476,0.01195931,FALSE,FALSE
mdl,mdl,other,520,0.367983906,0.969106368,-0.031380902,0.034821054,-0.005808759,FALSE,FALSE
UProSD,UProSD,other,101,0.369747105,0.921831493,-0.081392835,0.090124138,0.054848055,FALSE,FALSE
VZ.IgM,Varicella zoster virus IgM Ab [Units/volume] in Serum by Immunoassay,toxicology/pharmacology,107,0.370099782,1.142179719,0.132938471,0.147429971,0.011480791,FALSE,FALSE
FLgOth,Unidentified cells/100 leukocytes in Body fluid,blood,895,0.371128678,0.974344432,-0.025990411,0.029041275,-0.019335515,FALSE,FALSE
Gastrn,Gastrin [Mass/volume] in Serum or Plasma,endocrine,283,0.37166859,1.062903577,0.061004387,0.068150629,-0.047510261,FALSE,FALSE
ABS.LYMPH.CT,ABS LYMPH CT,immune,212,0.372889928,1.05568194,0.054186947,0.060644593,0.042187993,FALSE,FALSE
CH50,Complement C3 [Mass/volume] in Serum or Plasma,immune,607,0.372993871,1.045519476,0.044513868,0.049922019,0.004732638,FALSE,FALSE
IMMATURE.GRANULOCYTES.PERCENT,IMMATURE GRANULOCYTES PERCENT,immune,317,0.374356496,1.062066566,0.060216601,0.067660054,0.015102746,FALSE,FALSE
Digox,Digoxin [Mass/volume] in Serum or Plasma,toxicology/pharmacology,1246,0.377374189,0.975038568,-0.025278252,0.02862266,0.005346886,FALSE,FALSE
G.Sub4,IgG subclass 4 [Mass/volume] in Serum,immune,346,0.378548416,1.063413717,0.061484221,0.069712994,0.004649742,FALSE,FALSE
X3OHCot,Trans-3-Hydroxycotinine [Mass/volume] in Serum or Plasma,toxicology/pharmacology,372,0.38289229,0.962156361,-0.038578304,0.044140741,0.017736449,FALSE,FALSE
C3,Complement C3 [Mass/volume] in Serum or Plasma,immune,4000,0.384138209,0.985874793,-0.014225917,0.016343959,0.00032419,FALSE,FALSE
UrobUr,Urobilinogen [Units/volume] in Urine by Test strip,urinary,4464,0.384570391,1.010288852,0.010236282,0.011771145,0.002850075,FALSE,FALSE
VitaB2,Riboflavin [Moles/volume] in Serum or Plasma,metabolic,684,0.385041758,1.038464637,0.037743312,0.043416917,0.000882656,FALSE,FALSE
CorUF,Cortisol Free [Mass/time] in 24 hour Urine,endocrine,351,0.389059769,1.047847802,0.046738349,0.054182473,-0.000631471,FALSE,FALSE
C.pH,C-pH,blood,429,0.38953693,0.889225839,-0.117404039,0.136264941,0.01100672,FALSE,FALSE
LH1,Lutropin [Units/volume] in Serum or Plasma,endocrine,2377,0.391481559,0.977523339,-0.022733111,0.02652302,-0.004108342,FALSE,FALSE
Hepasy,Heparin unfractionated [Units/volume] in Platelet poor plasma by Chromogenic method,blood,264,0.392618498,1.085873448,0.082384684,0.096097548,-0.008932032,FALSE,FALSE
T3.UP,Triiodothyronine resin uptake (T3RU) in Serum or Plasma,toxicology/pharmacology,322,0.395413708,1.055197226,0.053727694,0.063112897,0.00572519,FALSE,FALSE
H62,H62,other,130,0.396085539,1.078240583,0.075330623,0.088356624,0.022029217,FALSE,FALSE
ParvoG,Parvovirus B19 IgG Ab [Presence] in Serum by Immunoassay,immune,317,0.400217819,0.918471928,-0.085043938,0.100932235,0.020838185,FALSE,FALSE
SGBF,Specific gravity of Body fluid,blood,973,0.401501584,1.025344855,0.025029,0.02981851,0.001567052,FALSE,FALSE
AspIdx,Galactomannan Ag [Units/volume] in Unspecified specimen by Immunoassay,immune,724,0.406884545,1.028235835,0.027844553,0.033546101,0.015033833,FALSE,FALSE
RubelG,Rubella virus IgG,immune,107,0.408722882,0.52885607,-0.637038964,0.767329351,0.016929065,FALSE,FALSE
ScrasT,Sucrase [Enzymatic activity/mass] in Tissue,metabolic,371,0.411978471,0.911019439,-0.093191044,0.113453732,0.001241814,FALSE,FALSE
Sodium_HH,Sodium [Moles/volume] in Blood,blood,147,0.411981101,0.933455904,-0.068861554,0.083597793,0.017226172,FALSE,FALSE
PCO2,Carbon dioxide [Partial pressure] in Arterial blood,blood,151,0.412252506,1.06202097,0.060173668,0.073104199,0.040512386,FALSE,FALSE
F11Act,Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay,blood,160,0.413761666,0.910857669,-0.093368629,0.113880643,-0.001915052,FALSE,FALSE
UKapLC,Kappa light chains.free [Mass/volume] in Urine,urinary,264,0.415124827,1.039050524,0.038307338,0.046908394,0.010860051,FALSE,FALSE
PenG,Penicillin G [Susceptibility] by Minimum inhibitory concentration (MIC),immune,233,0.415928879,1.056784873,0.055231161,0.067736197,0.073899367,FALSE,FALSE
AntDNA,DNA double strand Ab [Units/volume] in Serum,immune,2496,0.418485855,0.980729994,-0.019458093,0.02404592,-0.001947398,FALSE,FALSE
VitEGm,Beta+gamma tocopherol [Mass/volume] in Serum or Plasma,metabolic,986,0.419484988,1.037311237,0.036632016,0.045353482,-0.003992527,FALSE,FALSE
X25HyD2,25-Hydroxycalciferol [Mass/volume] in Serum or Plasma,metabolic,3197,0.419556961,1.015681949,0.015560257,0.019274153,0.000689847,FALSE,FALSE
IgM.Q,IgM [Mass/volume] in Serum or Plasma,immune,2280,0.423047723,0.982975099,-0.017171491,0.021429137,0.005465035,FALSE,FALSE
LDL_HDL_RATIO,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,metabolic,722,0.423288456,0.972496004,-0.027889312,0.034806957,-0.010189562,FALSE,FALSE
Cholest,Cholest,metabolic,167,0.42383487,0.9454426,-0.056102101,0.069918236,-0.021008062,FALSE,FALSE
MaltsT,Isomaltase [Enzymatic activity/mass] in Tissue,metabolic,371,0.424636139,0.914512898,-0.089363707,0.111796665,0.001658982,FALSE,FALSE
Tryphn,Tryptophan [Moles/volume] in Serum or Plasma,metabolic,426,0.427978033,1.150143687,0.13988688,0.176292479,0.003657151,FALSE,FALSE
PT,PT,blood,301,0.429927731,1.049534338,0.048346578,0.061142292,0.008015718,FALSE,FALSE
Ampicil,Ampicillin [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,700,0.434434053,1.027324829,0.02695817,0.034464347,0.009403768,FALSE,FALSE
CA2729,Cancer Ag 27-29 [Units/volume] in Serum or Plasma,cancer,159,0.442909856,1.107307136,0.101931064,0.132398718,0.013112509,FALSE,FALSE
NeuV.G,NeuV-G,other,183,0.44345477,1.040219793,0.03943203,0.051312045,0.02794016,FALSE,FALSE
G.Sera,G-Sera,other,461,0.448214891,0.954060153,-0.047028556,0.061950689,0.003536536,FALSE,FALSE
CALCIUMPHOSPHORUS,CALCIUMPHOSPHORUS,metabolic,160,0.452662384,0.940808379,-0.061015796,0.080978667,0.040074346,FALSE,FALSE
Lith,Lithium [Moles/volume] in Serum or Plasma,toxicology/pharmacology,534,0.453610712,1.049388996,0.048208087,0.064273426,0.004318555,FALSE,FALSE
I9,I9,other,295,0.455137977,0.960271412,-0.040539313,0.054192532,-0.002788834,FALSE,FALSE
CPlaCl,Plasma cells/100 leukocytes in Cerebral spinal fluid by Manual count,blood,762,0.457335657,1.025714899,0.025389832,0.034141347,-0.00150939,FALSE,FALSE
Ferrit,Ferritin [Mass/volume] in Serum or Plasma,blood,17856,0.459220601,1.005558785,0.005543392,0.007489558,-0.002082876,FALSE,FALSE
CRP_._INFLAMMATORY,CRP_-_INFLAMMATORY,immune,140,0.461355471,0.943991616,-0.057637995,0.077956862,0.027925817,FALSE,FALSE
F.TRIG,Triglyceride [Mass/volume] in Body fluid,metabolic,638,0.466530913,1.023179011,0.022914458,0.031442831,0.078400278,FALSE,FALSE
HIV.hi,HIV-hi,immune,147,0.467081241,1.095984757,0.091653281,0.125617981,0.021614575,FALSE,FALSE
HPLC.A,Hemoglobin A/Hemoglobin.total in Blood,blood,857,0.467201063,1.043972183,0.043032845,0.059160953,0.030701427,FALSE,FALSE
Theo,Theophylline [Mass/volume] in Serum or Plasma,toxicology/pharmacology,126,0.468933015,0.941545166,-0.06023296,0.082752968,0.049578849,FALSE,FALSE
FEosin,Eosinophils/100 leukocytes in Body fluid by Manual count,immune,1696,0.473244443,1.017731007,0.017575646,0.024498443,-0.004900255,FALSE,FALSE
CALCIUM_asterisk_PHOSPHORUS,CALCIUM_asterisk_PHOSPHORUS,metabolic,119,0.492249877,0.924199507,-0.078827314,0.114270923,0.034367197,FALSE,FALSE
RDW.CV,RDW CV,blood,340,0.497018555,1.040842017,0.040030017,0.058855856,0.010814734,FALSE,FALSE
F.pH,pH of Body fluid,kidney,700,0.501891906,1.021962512,0.02172481,0.032329998,0.00330768,FALSE,FALSE
SySeg,Polymorphonuclear cells [#/volume] in Cerebral spinal fluid,immune,622,0.502867127,1.02584406,0.025515747,0.03805751,0.01139848,FALSE,FALSE
FNeut,Neutrophils/100 leukocytes in Body fluid by Manual count,immune,3027,0.503698845,1.012037981,0.011966101,0.017892345,-0.000133994,FALSE,FALSE
Promyl,Promyelocytes/100 leukocytes in Blood by Manual count,blood,3104,0.504936085,0.987511808,-0.012566825,0.018845367,0.000251393,FALSE,FALSE
Glutmn,Glutamine [Moles/volume] in Serum or Plasma,metabolic,434,0.505117324,1.100848981,0.096081683,0.144034854,0.000796373,FALSE,FALSE
TCIace,TCIace,immune,439,0.508896589,0.966529962,-0.03404298,0.051488483,-0.005729683,FALSE,FALSE
UGluc,Glucose urine dipstick,urinary,4690,0.511311188,1.008147574,0.008114562,0.012353598,-0.003047654,FALSE,FALSE
HIVRNA,HIVRNA,immune,192,0.513141765,0.94348089,-0.058179169,0.08875917,0.018503558,FALSE,FALSE
TCIcdr,TCIcdr,immune,436,0.51477245,0.966636475,-0.033932785,0.052041314,-0.004495191,FALSE,FALSE
HEMOGLOBIN_x_3,Hemoglobin,blood,171,0.514877995,1.048284872,0.047155373,0.072203341,0.028830695,FALSE,FALSE
Leiden,Protein C inhibitor [Mass/volume] in Platelet poor plasma by Immunoassay,blood,967,0.528257906,0.977645176,-0.022608481,0.035832224,-0.004052571,FALSE,FALSE
GTT3Hr,Glucose [Mass/volume] in Serum or Plasma --3 hours post 100 g glucose PO,metabolic,682,0.530192022,0.929875905,-0.072704137,0.115761192,-0.003980822,FALSE,FALSE
Valn,Valine [Moles/volume] in Serum or Plasma,metabolic,426,0.533291641,1.110340481,0.104666708,0.167856242,0.008566859,FALSE,FALSE
GT2Hr,GT2Hr,other,388,0.537248178,1.043351437,0.042438068,0.068712722,0.001133167,FALSE,FALSE
TesBav,Testosterone.free+weakly bound [Mass/volume] in Serum or Plasma,endocrine,394,0.542759894,0.976359832,-0.02392408,0.039266326,-0.003130852,FALSE,FALSE
Norep,Norepinephrine [Mass/time] in 24 hour Urine,urinary,315,0.54425354,0.966801226,-0.033762362,0.055605224,0.010073961,FALSE,FALSE
BASOPHIL.PERCENT,BASOPHIL PERCENT,immune,339,0.544975591,0.963592465,-0.037086828,0.061189362,-0.010412223,FALSE,FALSE
Serine,Serine [Moles/volume] in Serum or Plasma,metabolic,424,0.5491863,0.904055614,-0.1008644,0.168244692,-0.003095541,FALSE,FALSE
CD4As,CD4As,immune,439,0.551944074,0.969694254,-0.03077446,0.051689154,0.001679092,FALSE,FALSE
INR,INR,blood,380,0.553872087,1.031212047,0.030734855,0.051858737,0.010223843,FALSE,FALSE
IGFBP3,Insulin-like growth factor binding protein 3 [Mass/volume] in Serum or Plasma,endocrine,367,0.554623924,0.892932611,-0.113244164,0.191468729,-0.005066338,FALSE,FALSE
Citrln,Citrulline [Moles/volume] in Serum or Plasma,metabolic,436,0.558573277,1.095631546,0.091330951,0.155998142,-0.003667681,FALSE,FALSE
LYMPHOCYTES,LYMPHOCYTES,immune,255,0.561001767,0.967426521,-0.033115805,0.056868448,0.047389552,FALSE,FALSE
IGF_1_Z.score,Insulin-like growth factor-I [Z-score] in Serum or Plasma,metabolic,153,0.561147599,1.185830859,0.170443676,0.292521066,0.009214735,FALSE,FALSE
INTERNATIONAL.NORMALIZATION.RATIO,INTERNATIONAL NORMALIZATION RATIO,blood,592,0.562675284,1.025853854,0.025525295,0.044060231,0.001890797,FALSE,FALSE
TCIcda,TCIcda,immune,439,0.565303023,0.9715878,-0.028823639,0.050086045,-0.000159206,FALSE,FALSE
MEAN.PLATELET.VOLUME,MEAN PLATELET VOLUME,blood,334,0.566528828,1.03750711,0.036820826,0.064157544,0.007043352,FALSE,FALSE
HpIdAb,HpIdAb,other,357,0.569275327,1.031613338,0.031123925,0.054617754,-0.007183745,FALSE,FALSE
CaChN,CaChN,metabolic,176,0.56953642,0.966896286,-0.033664042,0.059050316,-0.021154847,FALSE,FALSE
TU.K,Potassium [Moles/time] in 24 hour Urine,urinary,111,0.570253943,1.054175748,0.05275918,0.092559631,0.000359473,FALSE,FALSE
Ca24Hr,Ca24Hr,metabolic,514,0.571457899,0.972381894,-0.028006657,0.049450617,0.000935725,FALSE,FALSE
NaslO2,NaslO2,blood,3124,0.572354797,1.007176369,0.007150741,0.01266369,0.07907446,FALSE,FALSE
Dimer,Dimer,blood,1174,0.572682801,0.983944319,-0.01618597,0.028683072,0.010603163,FALSE,FALSE
RRISK,RRISK,other,271,0.573819026,0.96762185,-0.032913919,0.05843548,-0.00052549,FALSE,FALSE
CProt1,Protein [Mass/volume] in Cerebral spinal fluid,metabolic,3097,0.578302417,1.011393632,0.011329213,0.020378706,-0.00447411,FALSE,FALSE
UReEpi,Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field,kidney,525,0.581858505,0.981311988,-0.018864839,0.034230628,-0.010151491,FALSE,FALSE
Commen,Commen,other,401,0.5830328,1.015145334,0.015031788,0.027351896,-0.027754334,FALSE,FALSE
ABS.NEUTRO.CT,ABS NEUTRO CT,immune,212,0.584353622,1.039488294,0.038728567,0.070656872,0.008769001,FALSE,FALSE
WHITE.BLOOD.CELLS,WHITE BLOOD CELLS,immune,339,0.58464089,1.034023459,0.033457463,0.061131947,-0.000138161,FALSE,FALSE
UProtS,UProtS,other,116,0.586274913,1.051238798,0.049969277,0.09143812,0.048855553,FALSE,FALSE
NRBC.ABS,NRBC ABS,blood,194,0.587671922,0.972436415,-0.027950589,0.051436485,-0.033825553,FALSE,FALSE
NbprGl,Norbuprenorphine [Mass/volume] in Urine by Confirmatory method,toxicology/pharmacology,176,0.594376435,0.954702282,-0.046355734,0.086846939,0.018124638,FALSE,FALSE
LYMPHOCYTE.PERCENT,LYMPHOCYTE PERCENT,immune,340,0.595099363,0.968726003,-0.03177347,0.059711997,0.014302286,FALSE,FALSE
HCVLog,HCVLog,blood,299,0.599175512,0.967078699,-0.033475403,0.06360543,-0.001581989,FALSE,FALSE
CLgOth,Unidentified cells/100 leukocytes in Body fluid,immune,847,0.604732818,1.021157199,0.020936493,0.040431547,-0.023390271,FALSE,FALSE
NRBCBC,Nucleated erythrocytes/100 leukocytes [Ratio] in Cerebral spinal fluid by Manual count,blood,2674,0.615261387,0.993444946,-0.006576633,0.013083942,0.014705407,FALSE,FALSE
BASOM,Basophils/100 leukocytes in Blood by Manual count,immune,8439,0.620570273,0.993967874,-0.006050393,0.012221436,0.00150712,FALSE,FALSE
AlkPTo,Alkaline phosphatase serum/plasma,liver,162,0.622323915,0.958753929,-0.042120828,0.08527503,-0.00234575,FALSE,FALSE
Calcit,Calcitonin [Mass/volume] in Serum or Plasma,metabolic,176,0.626093687,1.026804784,0.026451829,0.05417092,0.006513072,FALSE,FALSE
DHEA.S,Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma,endocrine,1135,0.631830123,0.979192841,-0.021026679,0.043869899,-0.009904331,FALSE,FALSE
PH,PH,blood,107,0.632039354,0.939747322,-0.062144246,0.129277742,0.008558677,FALSE,FALSE
UEpin,Epinephrine [Mass/time] in 24 hour Urine,endocrine,224,0.632957226,1.030811004,0.030345875,0.063438701,0.009648479,FALSE,FALSE
CR.Day,Creatinine [Mass/time] in 24 hour Urine,kidney,885,0.633162414,1.016816719,0.016676884,0.03492727,-0.019620627,FALSE,FALSE
BILIRUBIN._UNCONJUGATED,Bilirubin.unconjugated,liver,142,0.635569515,1.031114548,0.030640302,0.064477098,-0.010641077,FALSE,FALSE
FNRBC,Nucleated erythrocytes/100 leukocytes [Ratio] in Body fluid by Manual count,blood,843,0.635810395,1.010199639,0.010147973,0.021418399,0.13483361,FALSE,FALSE
Na24Hr,Na24Hr,blood,203,0.636379332,1.030869935,0.030403042,0.064188084,0.020761612,FALSE,FALSE
ULamLC,Lambda light chains.free [Mass/volume] in Urine,metabolic,225,0.640187455,0.972482047,-0.027903665,0.059584232,0.04348265,FALSE,FALSE
ACTH,Corticotropin [Mass/volume] in Plasma,endocrine,1639,0.642025709,0.98795392,-0.012119222,0.026064598,0.003636212,FALSE,FALSE
ABS.IMMATURE.GRANULOCYTES.CT,ABS IMMATURE GRANULOCYTES CT,immune,197,0.642854789,1.032346602,0.031834465,0.068513482,0.010379955,FALSE,FALSE
MEAN.CELL.VOLUME,MEAN CELL VOLUME,blood,341,0.644067074,1.030061035,0.029618058,0.06403167,0.002183225,FALSE,FALSE
PC,PC,other,295,0.644893673,1.031245343,0.030767142,0.066676964,-0.001347549,FALSE,FALSE
OHPrln,Hydroxyproline [Moles/volume] in Serum or Plasma,metabolic,421,0.646075576,1.08275598,0.079509624,0.173003093,0.002668668,FALSE,FALSE
FMESO,Mesothelial cells/100 leukocytes in Body fluid by Manual count,immune,951,0.647001187,0.984711517,-0.015406557,0.03362976,0.00194572,FALSE,FALSE
RrkIgM,Rickettsia rickettsii IgM Ab [Titer] in Serum by Immunofluorescence,immune,108,0.652234591,0.955023433,-0.046019402,0.101727167,0.01979226,FALSE,FALSE
IsoLcn,Isoleucine [Moles/volume] in Serum or Plasma,metabolic,426,0.652827319,1.078232663,0.075323278,0.167315007,0.010376757,FALSE,FALSE
